Name,State,decimalLatitude,decimalLongitude,year
Pinus rigida,Pennsylvania,40.799679,-77.989929,2014
Pinus rigida,New York,42.718943,-73.863771,2015
Pinus rigida,New York,40.586275,-73.559793,2015
Pinus rigida,New Jersey,39.887025,-74.379463,2015
Pinus rigida,Massachusetts,42.73798,-70.792906,2015
Pinus rigida,Maine,43.406108,-70.624542,2015
Pinus rigida,New Jersey,40.054133,-74.437928,2015
Pinus rigida,New Jersey,39.656355,-74.65798,2015
Pinus rigida,Vermont,44.554603,-73.301322,2015
Pinus rigida,Vermont,44.55464,-73.301068,2015
Pinus rigida,New York,42.718845,-73.864357,2015
Pinus rigida,Vermont,42.920245,-72.601324,2015
Pinus rigida,Ohio,41.487652,-81.93471,2015
Pinus rigida,New Jersey,40.10738,-74.434976,2015
Pinus rigida,Maine,43.782772,-69.729082,2015
Pinus rigida,Maine,44.338556,-68.273335,2015
Pinus rigida,New Jersey,39.649269,-74.649567,2015
Pinus rigida,Vermont,44.582645,-73.19242,2015
Pinus rigida,Vermont,44.537401,-73.217751,2015
Pinus rigida,Maine,44.340842,-68.225956,2015
Pinus rigida,Vermont,43.720576,-72.988877,2015
Pinus rigida,Massachusetts,41.623802,-70.536043,2015
Pinus rigida,Massachusetts,41.552077,-70.643721,2015
Pinus rigida,Pennsylvania,41.390361,-77.469001,2015
Pinus rigida,New Jersey,40.9682,-75.113045,2015
Pinus rigida,Pennsylvania,39.726652,-76.076859,2015
Pinus rigida,North Carolina,35.166539,-83.036033,2015
Pinus rigida,North Carolina,35.03572,-83.19227,2015
Pinus rigida,Massachusetts,42.063308,-70.189155,2015
Pinus rigida,Connecticut,41.825822,-72.24082,2015
Pinus rigida,Vermont,43.72104,-72.98623,2015
Pinus rigida,Massachusetts,41.561987,-70.532367,2015
Pinus rigida,New Jersey,40.055242,-74.439667,2015
Pinus rigida,New Jersey,40.3506,-74.560862,2015
Pinus rigida,New Jersey,39.761051,-74.104702,2015
Pinus rigida,Pennsylvania,39.732025,-76.080478,2015
Pinus rigida,Vermont,44.490505,-73.111243,2015
Pinus rigida,New Jersey,39.79297,-74.275497,2015
Pinus rigida,New Jersey,39.646873,-74.651123,2015
Pinus rigida,New Jersey,39.872858,-74.521658,2015
Pinus rigida,New Jersey,41.038206,-74.998772,2015
Pinus rigida,New Jersey,39.785895,-74.276195,2015
Pinus rigida,New Jersey,39.916799,-74.597275,2015
Pinus rigida,New Jersey,39.919617,-74.592362,2015
Pinus rigida,Rhode Island,41.684681,-71.58935,2016
Pinus rigida,New York,42.697094,-73.842458,2016
Pinus rigida,New York,40.58888,-73.558263,2016
Pinus rigida,New York,40.58966,-73.55132,2016
Pinus rigida,Pennsylvania,41.849104,-78.982948,2016
Pinus rigida,New York,40.58888,-73.558263,2016
Pinus rigida,New York,43.090619,-77.514997,2016
Pinus rigida,Kentucky,37.772907,-83.685204,2016
Pinus rigida,Massachusetts,42.297797,-72.238686,2016
Pinus rigida,Maine,43.545295,-70.475657,2016
Pinus rigida,Maine,43.954213,-70.883243,2016
Pinus rigida,Massachusetts,41.654748,-69.964327,2016
Pinus rigida,New York,41.011609,-72.035068,2016
Pinus rigida,New York,40.617467,-73.825139,2016
Pinus rigida,Massachusetts,41.65663,-69.958683,2016
Pinus rigida,Massachusetts,42.215609,-71.113615,2016
Pinus rigida,New Jersey,39.80729,-74.545664,2016
Pinus rigida,New York,42.713264,-73.865784,2016
Pinus rigida,Maine,43.546204,-70.471175,2016
Pinus rigida,Rhode Island,41.684484,-71.589134,2016
Pinus rigida,Ohio,41.487913,-81.933488,2016
Pinus rigida,New Jersey,40.42003,-74.137777,2016
Pinus rigida,Maine,44.332168,-68.189821,2016
Pinus rigida,Ohio,41.487709,-81.934104,2016
Pinus rigida,Massachusetts,42.057323,-70.108383,2016
Pinus rigida,Vermont,44.498264,-73.172714,2016
Pinus rigida,Maine,44.353642,-68.22522,2016
Pinus rigida,Maine,43.561307,-70.232793,2016
Pinus rigida,New Jersey,40.076815,-74.155915,2016
Pinus rigida,New Jersey,40.143599,-74.109936,2016
Pinus rigida,New Jersey,39.618999,-74.407335,2016
Pinus rigida,New Jersey,39.700395,-74.389973,2016
Pinus rigida,New Jersey,39.893,-74.556819,2016
Pinus rigida,New Jersey,39.700948,-74.390045,2016
Pinus rigida,Pennsylvania,40.186767,-75.514047,2016
Pinus rigida,New Jersey,40.481475,-74.435556,2016
