gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2576475204	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39558100	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Rhode Island			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.00095	-71.44442	6.0						2020-03-04T13:08:41Z	4	3	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39558100			2020-03-05T03:10:09Z	CC_BY_NC_4_0	Kent McFarland	Kent McFarland			2020-03-16T20:25:36.869Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
2576444642	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39380019	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.264807	-72.22541	15.0						2020-02-29T17:54:00Z	29	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39380019			2020-03-01T00:53:05Z	CC_BY_NC_4_0	btk	btk			2020-03-16T20:26:52.113Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576438051	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/37902569	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Rhode Island			28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.504587	-71.778							2017-04-18T18:45:09Z	18	4	2017	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	37902569			2020-01-24T01:30:54Z	CC_BY_NC_4_0	gwt2102	gwt2102			2020-03-16T20:26:38.598Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576437202	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39213510	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.85822	-70.526742	5.0						2020-02-25T12:54:25Z	25	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39213510			2020-02-25T18:41:21Z	CC_BY_NC_4_0	centerhillfrank	centerhillfrank			2020-03-16T20:25:25.753Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576436670	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39375652	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.279971	-72.213505	15.0						2020-02-29T15:59:00Z	29	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39375652			2020-02-29T23:18:18Z	CC_BY_NC_4_0	btk	btk			2020-03-16T20:26:49.918Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576436045	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/37584256	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Rhode Island			28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.451689	-71.64196	10.0						2020-01-14T08:11:12Z	14	1	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	37584256			2020-01-14T13:13:05Z	CC_BY_NC_4_0	timmaz6	timmaz6			2020-03-16T20:26:37.482Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576421527	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39380559	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.264588	-72.224974	8.0						2020-02-29T18:25:00Z	29	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39380559			2020-03-01T01:07:02Z	CC_BY_NC_4_0	btk	btk			2020-03-16T20:26:50.202Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576421286	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39286527	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		New Jersey			28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.440104	-74.27158							2020-02-27T09:16:00Z	27	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39286527			2020-02-28T00:42:48Z	CC_BY_NC_4_0	Edward J Norton	Edward J Norton			2020-03-16T20:26:45.378Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576417559	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39376390	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.279891	-72.213127	8.0						2020-02-29T16:17:00Z	29	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39376390			2020-02-29T23:34:10Z	CC_BY_NC_4_0	btk	btk			2020-03-16T20:26:37.173Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576416558	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39375941	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus rigida		SPECIES	Pinus rigida Mill.	Pinus rigida		US		Massachusetts			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.278169	-72.215007	4.0						2020-02-29T16:08:00Z	29	2	2020	5285635	5285635	HUMAN_OBSERVATION	iNaturalist	Observations	39375941			2020-02-29T23:24:49Z	CC_BY_NC_4_0	btk	btk			2020-03-16T20:25:29.771Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
